Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,получение средств,3380.98,безналичный,Минск,Белинвестбанк-RMWQ-620,13-05-2005,19:19:55,успешно,нет,0.0
физ. лицо,получение средств,448.95,наличный,Брест,БелАгропромбанк-FLCE-015,08-05-2004,17:32:50,успешно,нет,0.0
юр. лицо,получение средств,3764.74,безналичный,Минск,БелАгропромбанк-EQOY-477,08-01-2013,23:22:57,успешно,нет,0.0
юр. лицо,получение средств,2120.2,наличный,Могилев,Приорбанк-CIJA-347,24-03-2019,18:45:13,успешно,нет,0.0
юр. лицо,списание средств,4086.73,безналичный,Гродно,Белинвестбанк-FRYU-416,27-03-2020,22:07:28,неправильный ввод пин-кода,да,133.32
юр. лицо,списание средств,141.13,безналичный,Гродно,Приорбанк-XFKX-515,24-08-2002,11:44:59,недостаточно средств,да,6.45
юр. лицо,получение средств,4236.26,наличный,Минск,Беларусбанк-YXHT-072,23-02-2000,21:39:06,успешно,нет,0.0
физ. лицо,получение средств,2264.46,безналичный,Витебск,Белинвестбанк-RCIX-295,18-02-2011,05:03:43,успешно,нет,0.0
юр. лицо,получение средств,4408.14,безналичный,Гомель,БелАгропромбанк-VSVV-651,04-12-2006,23:38:38,успешно,нет,0.0
физ. лицо,списание средств,1806.87,безналичный,Гомель,Приорбанк-MDZG-790,07-10-2012,04:24:23,успешно,да,102.37
юр. лицо,списание средств,2224.55,безналичный,Брест,Беларусбанк-LLYU-940,09-05-2011,02:52:15,успешно,нет,0.0
юр. лицо,получение средств,3056.88,безналичный,Гродно,Приорбанк-YZLF-644,06-10-2005,18:02:49,успешно,нет,0.0
физ. лицо,списание средств,376.83,наличный,Минск,Приорбанк-ZONS-718,27-06-2017,00:27:31,неправильный ввод пин-кода,да,17.71
юр. лицо,списание средств,333.65,безналичный,Минск,Беларусбанк-LHMN-986,22-09-2019,01:35:04,недостаточно средств,да,18.16
юр. лицо,списание средств,2774.72,наличный,Витебск,Приорбанк-WZIP-493,01-12-2022,11:26:25,недостаточно средств,да,224.84
физ. лицо,получение средств,3356.14,безналичный,Гродно,БелАгропромбанк-JLJN-488,28-07-2006,04:57:43,успешно,нет,0.0
юр. лицо,списание средств,1425.63,безналичный,Гродно,Беларусбанк-VJOR-363,28-06-2024,10:27:01,успешно,нет,0.0
физ. лицо,получение средств,2579.66,наличный,Минск,БелАгропромбанк-LKZF-461,18-09-2012,14:57:51,успешно,нет,0.0
физ. лицо,получение средств,4414.07,безналичный,Витебск,БелАгропромбанк-GFOL-760,16-08-2015,03:27:31,успешно,нет,0.0
юр. лицо,получение средств,1056.82,наличный,Могилев,МаксБанк-QUKL-798,29-11-2006,14:04:09,успешно,нет,0.0
юр. лицо,списание средств,4655.38,безналичный,Могилев,Белинвестбанк-AHYY-010,18-10-2001,02:51:48,неправильный ввод пин-кода,да,463.95
юр. лицо,списание средств,1705.09,наличный,Витебск,Приорбанк-YMBX-787,12-10-2017,11:50:14,неправильный ввод пин-кода,да,78.53
юр. лицо,списание средств,3692.55,безналичный,Брест,БелАгропромбанк-DCYN-281,01-06-2014,11:25:30,недостаточно средств,нет,0.0
физ. лицо,получение средств,3019.08,безналичный,Гомель,МаксБанк-MQYB-816,05-07-2020,14:50:18,успешно,нет,0.0
юр. лицо,получение средств,1395.48,безналичный,Минск,Беларусбанк-AVVI-662,15-01-2018,10:12:19,успешно,нет,0.0
юр. лицо,списание средств,4551.34,наличный,Гродно,МаксБанк-HHZN-619,05-08-2024,04:50:38,недостаточно средств,да,221.39
юр. лицо,получение средств,792.32,наличный,Витебск,МаксБанк-WBYA-010,21-04-2022,15:09:45,успешно,нет,0.0
юр. лицо,списание средств,2859.0,наличный,Могилев,Беларусбанк-JGEA-323,01-11-2002,13:21:28,успешно,нет,0.0
физ. лицо,списание средств,1343.24,безналичный,Брест,Белинвестбанк-HLQD-876,17-09-2024,15:25:43,успешно,да,54.92
физ. лицо,списание средств,2533.51,наличный,Брест,Приорбанк-OHDB-975,26-12-2008,17:53:00,неправильный ввод пин-кода,да,87.98
юр. лицо,списание средств,880.83,наличный,Брест,Беларусбанк-ILUF-528,20-11-2018,12:41:56,успешно,нет,0.0
юр. лицо,получение средств,1526.73,наличный,Минск,Приорбанк-VIEC-049,09-11-2021,00:40:58,успешно,нет,0.0
физ. лицо,списание средств,714.43,наличный,Гомель,БелАгропромбанк-ZHUC-752,20-05-2002,09:54:21,недостаточно средств,да,49.71
юр. лицо,списание средств,2777.37,безналичный,Минск,Беларусбанк-KZCI-540,22-07-2019,11:56:13,недостаточно средств,да,184.44
физ. лицо,получение средств,2530.35,безналичный,Гомель,БелАгропромбанк-COAG-754,29-07-2012,07:11:33,успешно,нет,0.0
физ. лицо,получение средств,3890.41,безналичный,Могилев,БелАгропромбанк-ZAMX-276,22-05-2009,00:01:56,успешно,нет,0.0
юр. лицо,получение средств,68.25,безналичный,Гродно,Беларусбанк-BRTN-947,26-11-2014,16:51:00,успешно,нет,0.0
физ. лицо,получение средств,3854.32,наличный,Минск,БелАгропромбанк-WEAF-158,05-02-2016,01:11:51,успешно,нет,0.0
юр. лицо,списание средств,4810.39,безналичный,Гомель,МаксБанк-ZUHF-163,20-08-2006,14:14:15,успешно,да,345.53
юр. лицо,списание средств,1018.7,наличный,Витебск,МаксБанк-JLUL-293,07-03-2014,04:22:26,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1137.6,наличный,Гродно,Белинвестбанк-GZUZ-944,29-01-2022,12:08:40,успешно,нет,0.0
юр. лицо,получение средств,2394.42,безналичный,Гродно,Белинвестбанк-RXOG-574,25-10-2007,13:25:39,успешно,нет,0.0
физ. лицо,получение средств,2963.53,наличный,Гомель,МаксБанк-JVPO-883,16-04-2005,15:37:25,успешно,нет,0.0
